frame,timestamp,id,type,x,y,z,l,w,h,rotation_z
2,314.224289487,0,Car,20.270680618015323,-0.6705749596044137,-1.5,3.3134874886606367,3.244498892360694,1.5,0
2,314.224289487,1,Car,2.8842570185208376,2.839015750340432,-1.5,0.3144229622681035,0.27460456649781445,1.5,0
2,314.224289487,2,Car,34.94333333375621,0.9402847700457199,-1.5,0.30904741104348754,0.2913502137765262,1.5,0
2,314.224289487,3,Car,50.82071895995665,1.3085702736490452,-1.5,4.917121485596381,3.3457231711112385,1.5,0
3,314.274289488,0,Car,20.127459425640353,-0.6662688224326987,-1.5,3.576084513725965,3.6393633560517475,1.5,0
3,314.274289488,1,Car,2.8067755097223035,2.81236732728633,-1.5,0.3144229622681035,0.27460456649781445,1.5,0
3,314.274289488,2,Car,34.959044489379686,0.9943260206842257,-1.5,0.4295017957881335,0.32149033732344495,1.5,0
3,314.274289488,3,Car,53.29423569952599,-0.08209329954557099,-1.5,4.278493261338484,2.7703701605846716,1.5,0
4,314.324289489,0,Car,20.051420839942615,-0.6175395085089919,-1.5,3.7211507437137588,3.845982805674993,1.5,0
4,314.324289489,1,Car,2.7292940009237694,2.7857189042322283,-1.5,0.3144229622681035,0.27460456649781445,1.5,0
4,314.324289489,2,Car,34.959412742427915,1.0480822405717571,-1.5,0.48180204131774645,0.3606380748702942,1.5,0
4,314.324289489,3,Car,53.58499517652647,-0.26787570435031616,-1.5,3.219895695477826,2.2430108439677263,1.5,0
4,314.324289489,4,Car,55.443551054195055,-1.1187564771404432,-1.5,4.536276914466264,2.9372878339078947,1.5,0
5,314.374289490,0,Car,19.87537248132164,-0.4930055684376315,-1.5,4.001703874964159,4.13594754862181,1.5,0
5,314.374289490,1,Car,2.6518124921252353,2.7590704811781266,-1.5,0.3144229622681035,0.27460456649781445,1.5,0
5,314.374289490,2,Car,34.959780995476144,1.1018384604592886,-1.5,0.5289561621256184,0.395933839296367,1.5,0
5,314.374289490,3,Car,53.04076520973054,-0.2311645313007475,-1.5,3.3269480904344593,2.317584589663178,1.5,0
5,314.374289490,4,Car,57.59286640886412,-2.1554196547353155,-1.5,4.780179065905409,3.0952170863751585,1.5,0
6,314.424289490,0,Car,19.488175840661278,-0.358329240842582,-1.5,3.495222031609331,3.7205366724076976,1.5,0
6,314.424289490,1,Car,2.574330983326701,2.732422058124025,-1.5,0.3144229622681035,0.27460456649781445,1.5,0
6,314.424289490,2,Car,34.960149248524374,1.15559468034682,-1.5,0.572237744196745,0.42833093415462165,1.5,0
6,314.424289490,3,Car,53.61176497769376,0.19454435143685161,-1.5,2.4083162463412444,1.6303873873921302,1.5,0
6,314.424289490,4,Car,59.74218176353318,-3.192082832330188,-1.5,5.012226606960328,3.2454703517909573,1.5,0
7,314.474289491,0,Car,19.255461140926602,-0.23107336533526338,-1.5,3.5987941383237687,3.8307854113389292,1.5,0
7,314.474289491,1,Car,34.9605175015726,1.2093509002343514,-1.5,0.6124683259696744,0.45844429673361664,1.5,0
7,314.474289491,2,Car,53.43329152367276,0.3588332255989692,-1.5,2.241058128530402,1.5171566079494265,1.5,0
